iter	Logloss
0	0.647792328
1	0.6141110191
2	0.5820422904
3	0.5573513723
4	0.5353657136
5	0.5180744646
6	0.5011099704
7	0.4893039814
8	0.4779015294
9	0.4687671887
10	0.4566603735
11	0.4475277737
12	0.4379259257
13	0.4315003103
14	0.4240651061
15	0.4191644498
16	0.4134994732
17	0.4104639051
18	0.4074809595
19	0.4028564726
20	0.3983506572
21	0.3947520733
22	0.3925142246
23	0.3895329772
24	0.3869800403
25	0.3840388201
26	0.3836944097
27	0.3825854208
28	0.3802070696
29	0.3786225435
30	0.3767707745
31	0.3747157792
32	0.3729908261
33	0.3714865575
34	0.3710489112
35	0.3692142332
36	0.3682212944
37	0.3671594474
38	0.3670100864
39	0.3649632542
40	0.3643014653
41	0.3628697788
42	0.3616319389
43	0.3605173451
44	0.3590237034
45	0.3586169641
46	0.3578556681
47	0.3567981004
48	0.3554006499
49	0.3545851433
50	0.3533769677
51	0.3527677223
52	0.3519222664
53	0.3507693144
54	0.3498667374
55	0.3492375886
56	0.348516616
57	0.3472653342
58	0.3461432558
59	0.3452897245
60	0.3444984745
61	0.3438485898
62	0.34318979
63	0.3426364871
64	0.3423652362
65	0.3420917878
66	0.3407014693
67	0.3401030384
68	0.3394510854
69	0.3381914103
70	0.3379708434
71	0.3362578806
72	0.335364834
73	0.33418741
74	0.3334134588
75	0.333185646
76	0.3322462574
77	0.3314029368
78	0.3312227007
79	0.3306160199
80	0.3302305879
81	0.329542578
82	0.3285200137
83	0.3281100234
84	0.3276452948
85	0.3272859759
86	0.3267123843
87	0.3263395407
88	0.3259314526
89	0.3257372559
90	0.3254900355
91	0.3251484643
92	0.3245335547
93	0.3243101899
94	0.3237663609
95	0.3231863437
96	0.3223545519
97	0.3215455974
98	0.3213595741
99	0.3211795863
