iter	Passed	Remaining
0	60	5948
1	60	2971
2	61	1985
3	63	1520
4	63	1213
5	64	1008
6	65	867
7	65	757
8	66	671
9	66	602
10	67	545
11	67	498
12	68	459
13	69	428
14	70	397
15	70	370
16	72	355
17	73	333
18	73	314
19	74	296
20	75	283
21	76	269
22	76	256
23	77	244
24	77	233
25	78	222
26	78	212
27	79	203
28	79	195
29	80	187
30	80	179
31	81	172
32	81	166
33	82	159
34	83	154
35	83	149
36	84	143
37	84	138
38	85	133
39	86	129
40	86	124
41	87	120
42	87	116
43	88	112
44	88	108
45	89	104
46	90	102
47	91	98
48	91	95
49	92	92
50	93	89
51	94	86
52	94	83
53	95	81
54	96	78
55	96	76
56	97	73
57	98	71
58	99	68
59	99	66
60	100	64
61	101	61
62	101	59
63	102	57
64	102	55
65	103	53
66	104	51
67	104	49
68	105	47
69	105	45
70	106	43
71	106	41
72	107	39
73	108	38
74	108	36
75	109	34
76	110	32
77	110	31
78	111	29
79	111	27
80	115	27
81	115	25
82	116	23
83	117	22
84	117	20
85	118	19
86	118	17
87	119	16
88	119	14
89	120	13
90	120	11
91	121	10
92	121	9
93	122	7
94	123	6
95	123	5
96	124	3
97	124	2
98	125	1
99	126	0
